blueWins,blueFirstBlood,exblueWardsPlaced,exblueWardsDestroyed,exblueKills,exblueDeaths,exblueAssists,exblueDragons,exblueHeralds,exblueTowersDestroyed,exblueTotalGold,exblueAvgLevel,exblueTotalExperience,exblueTotalMinionsKilled,exblueTotalJungleMinionsKilled,exblueCSPerMin,exblueGoldPerMin
0,0,-23,-1,-2,2,-7,-1,0,0,-1304,-0.20000000000000018,-552,6,-10,0.5999999999999979,-130.4000000000001
1,1,28,3,3,-3,5,1,0,0,1824,0.20000000000000018,1409,7,-1,0.6999999999999993,182.39999999999986
0,0,0,2,3,-3,6,-1,-1,0,229,-0.20000000000000018,-45,-38,-6,-3.8000000000000007,22.90000000000009
1,0,-14,0,0,0,3,0,1,0,1507,0.20000000000000018,1667,38,1,3.8000000000000007,150.69999999999982
0,0,-5,0,-4,4,-1,1,0,0,-1787,0.0,-1135,-4,4,-0.3999999999999986,-178.70000000000005
0,0,-1,0,1,-1,-1,0,0,0,815,0.40000000000000036,1397,52,-3,5.199999999999999,81.5
0,0,-2,1,-9,9,-3,1,0,0,-4767,-1.2000000000000002,-5061,-71,4,-7.100000000000001,-476.70000000000005
0,0,-2,-1,-2,2,-4,-1,0,0,-1861,-0.40000000000000036,-2532,-41,-21,-4.099999999999998,-186.0999999999999
0,0,53,-4,-13,13,-17,1,0,-1,-7655,-1.2000000000000002,-4485,-60,24,-6.0,-765.5000000000002
1,0,8,-5,-5,5,-8,0,0,0,-2058,-0.40000000000000036,-2051,-12,2,-1.1999999999999993,-205.79999999999995
1,0,-2,2,0,0,4,1,0,0,-575,-0.20000000000000018,-208,-12,-12,-1.1999999999999993,-57.5
0,1,-3,2,2,-2,1,0,1,0,1765,0.40000000000000036,701,33,3,3.3000000000000007,176.5
0,1,-2,3,0,0,0,-1,1,0,540,0.0,269,35,-14,3.5,54.0
1,0,-1,-1,3,-3,4,-1,0,0,862,-0.20000000000000018,-442,-18,0,-1.7999999999999972,86.19999999999982
1,1,20,2,4,-4,8,1,0,0,2761,0.0,1659,20,4,2.0,276.0999999999999
0,0,-70,-2,-5,5,-2,-1,0,0,-1249,-0.40000000000000036,-853,13,17,1.3000000000000007,-124.90000000000009
1,0,18,-2,0,0,-2,-1,0,0,-75,0.0,655,27,8,2.6999999999999993,-7.5
1,1,1,2,9,-9,6,1,0,0,5805,1.0,4777,52,20,5.199999999999999,580.5
0,0,9,-1,-2,2,-8,-1,1,0,-810,0.0,-305,-14,7,-1.3999999999999986,-81.0
0,1,107,-1,1,-1,4,0,1,0,1034,0.20000000000000018,706,-2,4,-0.1999999999999993,103.39999999999986
1,1,1,-7,-4,4,-4,0,-1,0,-2595,-0.8000000000000007,-2856,-29,-1,-2.8999999999999986,-259.5
1,0,6,4,-1,1,2,-1,0,0,-334,0.20000000000000018,-73,5,7,0.5,-33.399999999999864
1,1,-2,3,7,-7,4,1,1,1,3806,0.40000000000000036,2161,2,0,0.1999999999999993,380.60000000000014
0,0,21,1,-5,5,-5,0,0,0,-2711,-0.40000000000000036,-2547,-10,-21,-1.0,-271.0999999999999
1,1,7,0,4,-4,1,0,0,0,2551,0.20000000000000018,1754,47,2,4.699999999999999,255.0999999999999
0,1,13,9,3,-3,6,1,0,0,66,-0.20000000000000018,-446,-41,-12,-4.099999999999998,6.599999999999909
0,0,-20,2,5,-5,10,1,0,0,2242,0.40000000000000036,727,-12,5,-1.1999999999999993,224.20000000000005
0,0,0,-2,-3,3,-6,0,1,0,-893,0.0,-213,21,7,2.099999999999998,-89.29999999999995
0,0,16,0,-3,3,-6,-1,0,0,-1208,0.0,-152,-18,13,-1.8000000000000007,-120.79999999999995
1,0,-4,2,8,-8,6,-1,0,0,4003,0.40000000000000036,2566,40,0,4.0,400.29999999999995
1,0,4,-2,2,-2,-2,1,0,0,819,0.40000000000000036,2149,34,-9,3.3999999999999986,81.89999999999986
1,1,60,4,6,-6,9,0,-1,0,4009,0.40000000000000036,1935,47,3,4.699999999999999,400.89999999999986
0,0,0,-2,-1,1,-1,1,0,0,-259,-0.40000000000000036,-1001,-26,-6,-2.599999999999998,-25.899999999999864
0,1,11,0,3,-3,6,0,0,0,1728,-0.20000000000000018,-738,32,-16,3.1999999999999993,172.80000000000018
