blueWins,blueFirstBlood,blueActiveWards,blueKills,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueCSPerMin,blueGoldPerMin,redActiveWards,redKills,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin
0,0,10,4,5,0,0,0,6.8,16945,203,43,20.3,1587.8,14,13,14,1,0,0,7.2,19766,209,45,20.9,1871.3
0,0,14,4,3,0,0,0,7,17562,238,56,23.8,1577.3,14,6,10,1,0,0,7,18129,231,60,23.1,1702.7
0,0,75,4,4,1,1,0,6.8,19219,238,67,23.8,1590.6,11,3,3,0,0,0,7,17936,220,64,22,1550
1,0,30,6,10,0,0,0,6.8,17223,208,45,20.8,1651.5,15,9,13,0,0,0,6.6,16730,197,36,19.7,1753.5
0,0,15,4,4,0,0,0,6.2,16047,204,44,20.4,1541.5,18,8,13,1,0,0,7,17114,221,36,22.1,1788.7
1,0,15,8,9,1,0,0,7,17854,209,44,20.9,1717.8,9,6,3,0,0,0,6.8,17909,233,36,23.3,1591.8
0,1,15,7,9,0,0,0,7,18982,228,61,22.8,1722.6,11,4,2,1,0,0,6.6,16967,202,49,20.2,1536.9
0,1,102,8,13,1,0,0,6.8,17436,217,53,21.7,1747.4,60,6,11,0,0,0,6.8,17849,223,40,22.3,1615.4
0,0,15,3,2,1,0,0,6.8,17974,233,52,23.3,1490.5,13,8,12,0,0,0,7.4,19621,225,52,22.5,1818.7
1,1,18,9,10,1,0,0,7,18076,228,40,22.8,1813.2,14,4,2,0,0,0,6.2,15965,227,36,22.7,1524.9
1,1,15,5,6,1,1,0,6.8,17406,218,51,21.8,1605.3,11,2,2,0,0,0,6.4,15710,206,48,20.6,1435
0,0,10,6,7,0,0,0,6.8,16989,203,32,20.3,1643.8,16,4,4,1,0,0,6.8,17074,206,44,20.6,1583
0,1,14,5,4,0,0,0,6.8,16355,201,45,20.1,1563.4,12,4,4,1,0,0,6.8,16714,222,38,22.2,1556.3
1,0,39,6,4,0,0,0,7.4,19076,204,56,20.4,1608.5,13,4,5,1,0,0,7.2,18204,223,62,22.3,1581
0,0,22,3,6,0,0,0,6.8,17082,235,52,23.5,1498.1,14,4,7,1,1,0,6.8,16444,218,50,21.8,1579
0,0,10,2,2,1,0,0,7.2,19276,217,84,21.7,1542.1,10,8,5,0,0,0,7.4,20401,234,64,23.4,1819.2
0,1,16,5,4,0,1,0,6.8,17716,203,48,20.3,1566.5,38,6,6,1,0,0,7,18952,214,67,21.4,1739.5
0,0,10,7,5,0,1,0,7.2,19609,234,68,23.4,1752.8,15,9,9,1,0,0,7,18232,227,40,22.7,1843.2
0,0,15,3,3,0,1,0,6.6,16832,213,48,21.3,1503.2,34,6,6,1,0,0,7,18195,236,44,23.6,1671.5
0,0,28,4,3,0,0,0,6.8,17362,222,48,22.2,1548.3,38,11,16,1,0,0,7.2,19195,213,39,21.3,1850.8
1,0,34,10,12,0,0,0,7.4,20118,231,44,23.1,1922.6,15,6,7,0,0,0,7,17818,185,39,18.5,1622.2
1,0,16,9,14,1,0,0,6.8,17806,204,36,20.4,1694.5,14,6,6,0,0,0,6.8,17045,194,54,19.4,1537.1
1,1,11,5,3,0,0,0,6.6,16493,233,16,23.3,1500,17,5,4,0,0,0,7,17916,221,44,22.1,1603.6
0,1,14,3,2,0,1,0,7.4,19090,252,60,25.2,1588.8,35,4,2,1,0,0,7,18657,243,49,24.3,1587.2
0,0,40,1,0,0,0,0,6.4,15498,187,32,18.7,1292.5,12,10,6,0,1,1,7.2,19708,247,56,24.7,1931.1
1,1,11,11,9,0,0,0,7.6,19703,251,48,25.1,1925,11,2,2,0,0,0,6.4,16393,196,53,19.6,1415.4
1,1,14,8,5,1,0,1,7,18790,218,54,21.8,1835.5,12,4,5,0,0,0,6.8,17107,200,57,20,1559.9
1,0,11,2,2,0,1,0,6.6,16429,180,44,18,1397.8,10,3,1,0,0,0,6.8,17454,218,56,21.8,1495.5
0,0,10,5,8,0,0,0,6.8,17366,206,56,20.6,1585.1,37,5,6,0,0,0,7.2,19021,241,44,24.1,1665.9
0,0,10,7,5,0,0,0,6.6,17408,209,50,20.9,1647.4,22,9,13,1,0,0,6.8,17815,206,53,20.6,1803.3
1,0,17,6,6,0,0,0,7,18284,213,49,21.3,1659,12,8,7,0,0,0,7,18209,182,44,18.2,1604.6
1,1,19,5,2,1,1,0,7,18634,217,53,21.7,1573.7,12,2,1,0,0,0,7,17617,212,60,21.2,1435.6
1,1,36,5,5,0,0,0,7.4,19634,248,54,24.8,1699,13,3,5,1,0,0,7,18185,210,68,21,1495.9
0,0,12,3,2,1,0,0,7,19210,246,56,24.6,1529.7,16,3,1,0,0,0,7.2,18840,227,64,22.7,1516.6
0,0,14,4,4,0,1,0,7,17696,224,53,22.4,1565.1,28,10,11,1,0,0,7.4,20445,201,54,20.1,1835
0,1,17,5,7,1,0,0,6.8,16746,181,63,18.1,1558.7,14,7,6,0,0,0,7.4,19444,218,76,21.8,1725.9
1,1,15,10,11,1,0,0,7.2,18131,213,42,21.3,1777.7,15,6,5,0,0,0,6.8,17815,234,44,23.4,1657.6
1,1,25,7,5,1,1,0,7,18407,222,55,22.2,1642.6,11,5,4,0,0,0,6.8,18348,247,44,24.7,1653.4
0,0,11,10,11,0,0,1,7.2,19575,236,58,23.6,2027.8,20,7,6,1,0,0,6.6,17306,182,45,18.2,1564.5
0,0,15,2,0,0,0,0,6.6,16437,191,62,19.1,1379.1,14,7,4,1,0,0,6.8,17828,218,48,21.8,1605.3
0,0,22,6,5,0,0,0,7,17667,208,70,20.8,1650.5,14,7,10,1,0,0,6.8,17167,207,45,20.7,1655.4
1,1,15,6,4,1,0,0,7.2,19610,229,54,22.9,1727.7,34,4,5,0,1,0,7.2,18521,232,56,23.2,1559
1,1,119,9,10,1,1,0,7.2,19659,229,68,22.9,1826.9,11,1,1,0,0,0,6.4,16737,233,40,23.3,1433.6
0,0,10,4,3,1,0,0,6.6,15959,203,41,20.3,1416.6,12,10,6,0,0,0,7.4,20356,224,72,22.4,1822.7
0,0,51,6,7,0,0,0,6.6,16280,188,42,18.8,1545.6,13,12,11,0,1,1,7.4,19560,240,62,24,2037.6
0,0,15,4,2,0,0,0,7,17773,210,52,21,1518,9,5,1,0,0,0,7.2,19612,227,62,22.7,1688.5
0,1,27,7,8,1,0,0,6.8,16814,212,46,21.2,1617.9,20,8,5,0,1,0,7,18361,200,42,20,1607.4
1,0,13,3,3,0,0,0,7,18490,233,57,23.3,1602.6,11,5,6,1,0,0,6.8,17969,234,44,23.4,1658
0,1,15,4,4,0,0,0,6.8,17145,198,53,19.8,1485,13,5,5,1,0,0,7,18722,241,44,24.1,1588.7
0,1,11,9,7,0,1,0,7,18573,202,62,20.2,1734.7,11,8,11,1,0,1,7,18093,199,45,19.9,1849.1
1,1,35,5,6,0,0,0,6.8,17591,200,32,20,1588.7,12,4,3,1,0,0,6.6,16638,186,63,18.6,1471.4
0,1,15,8,11,0,0,0,7,19449,232,44,23.2,1739.9,11,2,2,1,0,0,6.6,16915,208,51,20.8,1420.5
0,1,13,2,1,1,0,0,6.6,16629,204,38,20.4,1382.8,9,7,7,0,0,0,6.8,17765,192,36,19.2,1645
1,1,13,6,4,1,0,0,7.2,19110,242,52,24.2,1664.5,12,4,3,0,1,0,7,18640,205,50,20.5,1549.4
1,1,48,6,8,1,1,0,6.8,17200,200,52,20,1624.8,44,4,8,0,0,0,6.6,15710,169,52,16.9,1478.5
0,0,12,4,1,0,0,0,7,18337,221,52,22.1,1531,13,6,5,1,1,0,7.2,19644,226,66,22.6,1634.8
1,1,13,8,7,0,1,0,6.6,17242,212,40,21.2,1678.4,11,4,5,0,0,0,6.4,16182,180,61,18,1536
1,0,14,13,18,1,0,0,7.4,18951,232,44,23.2,1903.2,11,9,5,0,0,0,7,18230,216,63,21.6,1850.5
0,0,13,7,12,0,0,0,7.2,18342,242,46,24.2,1751.8,47,6,9,1,1,0,6.8,17410,198,60,19.8,1571.1
0,1,43,11,12,0,1,0,7.4,20326,256,43,25.6,1897.6,10,4,6,1,0,0,7.2,19064,210,72,21,1612
0,0,11,6,10,1,0,0,6.6,16617,204,56,20.4,1614.3,12,6,3,0,1,0,7,19071,241,56,24.1,1710.7
0,0,13,7,6,0,1,0,7,17111,199,51,19.9,1586.8,40,8,6,1,0,0,6.8,16587,178,47,17.8,1604.6
1,0,18,9,7,1,0,0,7,18162,235,41,23.5,1797.7,13,8,8,0,0,0,7,17970,207,44,20.7,1727.2
1,0,15,10,14,1,0,0,7,18159,208,55,20.8,1813.8,15,10,16,0,0,0,7,17853,210,44,21,1723
1,0,14,7,12,1,1,0,7.2,19864,261,68,26.1,1802.5,23,2,3,0,0,0,6.8,16621,220,56,22,1446.7
0,0,11,1,0,0,0,0,6.8,17769,241,56,24.1,1462.5,47,6,3,1,0,0,7,17818,218,47,21.8,1592.4
1,0,14,5,7,1,0,0,6.6,17113,201,48,20.1,1575.2,15,8,6,0,0,0,7.2,18977,248,40,24.8,1751.5
1,0,14,10,12,0,0,0,7.4,19565,232,64,23.2,1848,12,4,4,0,0,0,6.6,17376,247,41,24.7,1593.3
0,0,10,3,2,1,0,0,6.6,16206,210,53,21,1499.5,17,10,13,0,1,0,7.4,19325,200,67,20,1868
0,1,81,7,3,0,0,0,6.4,15827,194,25,19.4,1565.5,22,11,7,1,0,0,7.2,20509,216,59,21.6,1934.4
0,1,13,3,2,0,0,0,7.2,18590,236,73,23.6,1556.2,29,5,6,1,1,0,6.8,17787,233,46,23.3,1632.6
1,1,14,9,5,0,0,0,7.2,19137,223,51,22.3,1713.9,11,2,2,1,0,0,6.6,16443,213,41,21.3,1410.2
1,1,11,7,6,0,0,1,7.2,18820,257,62,25.7,1922.9,15,7,10,1,0,0,6.6,16658,145,36,14.5,1568.4
0,0,10,7,10,1,0,0,7.2,19060,209,48,20.9,1697.2,14,7,7,0,0,0,7.4,19454,255,60,25.5,1800.3
0,0,15,5,6,0,0,0,7,18383,213,59,21.3,1624.9,15,10,15,1,0,0,7,19132,214,44,21.4,1804.5
1,1,14,5,9,0,0,0,6.8,17645,247,37,24.7,1641.5,11,4,5,1,0,0,7,16898,203,51,20.3,1478.9
1,0,39,6,10,0,1,0,7.2,19837,250,70,25,1801.2,11,8,11,1,0,0,7,18507,186,48,18.6,1718
1,0,14,11,11,1,1,0,7.4,20668,242,52,24.2,1929.4,14,6,9,0,0,0,7,18021,203,52,20.3,1654.4
0,0,13,5,4,0,1,0,6.8,17243,227,28,22.7,1538.3,10,8,11,0,0,0,7,18070,186,39,18.6,1690.7
0,1,14,6,2,1,0,0,6.6,17401,224,53,22.4,1577.7,16,8,9,0,0,0,7,18276,210,36,21,1714.7
0,0,11,4,4,0,0,0,6.6,17323,209,43,20.9,1480.5,14,6,7,1,0,0,7,17735,231,44,23.1,1631.1
0,0,9,6,2,0,0,0,6.6,16787,199,52,19.9,1524.4,12,7,5,1,1,0,7,17505,212,40,21.2,1634.5
0,0,14,8,7,0,1,0,7.2,19195,252,44,25.2,1757.4,11,3,2,1,0,0,6.6,16988,225,47,22.5,1480
0,0,21,8,9,0,0,0,7,17831,222,44,22.2,1665.5,13,11,13,1,1,0,7,18419,215,55,21.5,1846.1
0,0,7,6,8,1,0,0,7,18370,248,44,24.8,1685.5,11,4,4,0,1,0,6.8,17122,207,52,20.7,1559
1,0,14,6,4,0,0,0,6.6,16995,200,46,20,1578.6,13,14,9,1,0,0,7.6,21135,227,66,22.7,2022.9
0,0,15,3,1,0,0,0,7.2,19080,233,59,23.3,1514.3,13,5,7,1,0,0,7,18113,216,48,21.6,1607
1,1,10,9,9,0,0,0,7,18904,221,36,22.1,1730.9,11,5,3,1,1,0,6.8,18176,208,44,20.8,1588.4
1,0,14,6,6,1,0,0,7.4,19684,211,60,21.1,1641.6,11,4,2,0,0,0,7,18523,204,71,20.4,1523.9
1,1,14,2,2,1,0,0,7,17812,231,64,23.1,1522.2,15,7,14,0,1,0,6.8,17402,211,64,21.1,1680.8
0,0,14,5,3,1,1,0,6.8,17629,232,44,23.2,1552.6,13,10,6,0,0,0,7.4,19710,236,76,23.6,1842.2
1,0,15,12,10,0,0,0,6.4,15938,143,48,14.3,1759.7,11,9,9,0,0,0,6.2,14884,181,40,18.1,1669.2
0,1,16,9,17,0,0,0,6.2,14815,187,29,18.7,1683.4,30,17,21,0,0,0,7,18207,211,40,21.1,2072.1
1,1,30,12,12,1,0,0,7.2,19575,202,47,20.2,1905.8,14,6,7,0,0,0,6.6,16591,210,39,21,1564.5
0,1,14,7,5,1,1,0,7,18034,228,48,22.8,1680.6,32,9,7,0,0,0,7.4,19614,230,52,23,1706.2
1,1,12,7,7,0,0,0,6.8,17554,227,44,22.7,1664.3,12,10,11,0,0,0,7.2,18966,231,45,23.1,1846.3
1,1,13,6,12,1,0,0,6.8,17737,224,39,22.4,1618.9,101,4,4,0,0,0,7,18271,217,48,21.7,1556.4
0,0,10,2,1,0,0,0,6.8,17286,196,60,19.6,1409.5,12,6,4,1,0,0,7,19295,266,60,26.6,1772.3
0,1,26,5,7,0,1,0,6.8,17544,217,67,21.7,1680.4,10,5,6,1,0,0,6.4,17064,233,54,23.3,1603.5
0,0,15,8,8,1,0,0,7,18192,229,43,22.9,1730.5,13,8,6,0,1,0,7,18874,198,66,19.8,1788.1
0,0,12,3,2,0,0,0,6.4,16806,213,40,21.3,1453.9,26,9,8,1,0,0,7.6,20356,255,51,25.5,1843.9
1,0,12,9,10,1,0,0,7,18299,192,43,19.2,1753,17,8,8,0,1,0,7.2,18530,209,60,20.9,1753.7
1,1,10,10,10,0,0,0,7.2,19562,207,44,20.7,1843.1,8,7,5,1,0,0,7,18129,231,56,23.1,1674.8
0,0,8,3,2,0,0,0,6.8,16550,193,40,19.3,1403.2,13,10,11,1,0,0,7.4,19958,245,51,24.5,1881.4
1,1,37,9,11,1,0,0,7,17810,205,40,20.5,1786.9,11,7,9,0,0,0,6.8,18024,215,48,21.5,1723.3
1,0,36,7,6,1,0,0,6.2,16174,183,37,18.3,1597.4,12,14,12,0,0,0,7.2,18798,219,49,21.9,1939.5
1,0,15,5,6,1,0,0,7.2,18920,240,61,24,1610.8,34,3,5,0,0,0,6.8,17321,230,42,23,1513.2
0,0,36,6,6,0,0,0,6.8,17297,212,52,21.2,1630.2,14,7,7,0,1,0,7.2,18602,211,46,21.1,1651.3
1,0,15,7,6,0,0,0,6.8,17603,215,52,21.5,1675,30,5,5,0,0,0,6.8,17141,197,48,19.7,1552.9
1,0,14,7,8,0,0,0,7.2,18669,226,36,22.6,1650.6,30,1,0,1,0,0,6.6,17378,217,80,21.7,1446.9
1,1,13,6,11,1,0,0,7,17937,241,36,24.1,1638.9,33,3,3,0,0,0,6.8,18031,229,58,22.9,1557.2
1,1,17,4,4,0,0,0,7,18295,215,48,21.5,1576,13,4,1,1,0,0,7,18646,227,72,22.7,1589.7
1,1,34,4,4,1,0,0,6.4,16820,226,33,22.6,1517.6,17,7,12,0,0,0,7.2,18317,205,52,20.5,1671.5
0,0,10,5,4,0,0,0,6.4,16908,191,48,19.1,1519.6,57,7,10,1,0,0,7,18194,216,51,21.6,1690.3
1,0,12,6,2,1,0,0,7,17537,228,55,22.8,1625,16,9,13,0,0,0,6.8,17772,143,60,14.3,1680.6
1,1,17,9,15,1,0,0,6.6,16779,199,37,19.9,1654.1,11,7,8,0,1,0,6.8,17496,225,44,22.5,1668.7
1,1,13,12,9,0,1,0,7.2,19205,227,37,22.7,1865.7,14,4,1,1,0,0,6.6,16321,191,52,19.1,1457.4
1,0,15,5,6,0,0,0,7.2,19105,223,64,22.3,1687.3,37,5,7,1,0,0,6.8,17687,226,49,22.6,1548.4
0,0,26,3,3,1,0,0,6.4,15898,211,55,21.1,1438.3,12,4,5,0,1,0,6.4,16426,208,44,20.8,1527.3
0,1,9,4,5,0,0,0,6.4,15196,192,32,19.2,1442,15,9,15,0,0,0,6.4,16291,194,46,19.4,1693.9
0,0,86,4,4,0,0,0,6.2,15031,183,30,18.3,1472,9,15,14,0,0,0,7.4,19051,201,51,20.1,1916
1,1,14,7,7,0,0,0,7.2,19761,251,64,25.1,1740.6,14,6,4,1,1,0,7.2,19056,190,56,19,1626.6
0,1,10,5,2,0,0,0,6.4,15974,172,40,17.2,1521,9,7,3,0,0,0,6.8,17806,219,51,21.9,1686.6
1,0,21,10,16,0,0,0,6.4,15840,192,40,19.2,1727.2,34,5,6,1,1,0,6.6,16101,199,40,19.9,1510.1
1,1,16,12,15,0,0,0,7.2,19257,206,60,20.6,1935.8,13,4,3,0,0,0,6.8,16773,216,56,21.6,1551.7
1,0,15,4,5,0,1,1,6.6,16360,232,40,23.2,1685.5,34,11,15,1,0,0,7.2,18532,216,36,21.6,1774
0,0,12,3,4,1,1,0,6.6,16256,191,60,19.1,1520.9,15,8,9,0,0,0,7.2,18542,241,52,24.1,1796.1
1,1,13,13,22,0,0,0,7,17935,207,31,20.7,1954.2,14,9,11,0,0,0,7,17469,200,44,20,1746.1
0,1,13,4,4,0,0,0,6.6,17321,232,53,23.2,1526.7,11,3,3,0,0,0,6.8,17340,209,51,20.9,1481.4
0,1,11,3,3,1,0,0,6.6,17194,224,56,22.4,1524.3,38,1,1,0,1,0,6.8,18196,220,56,22,1441.3
0,0,17,8,3,0,0,0,6.8,17234,203,48,20.3,1621.4,15,8,6,0,0,0,7,17679,168,48,16.8,1612
0,0,69,8,12,1,1,0,7,18227,178,56,17.8,1597.6,11,6,6,0,0,0,6.6,17336,232,39,23.2,1669.8
0,0,13,6,10,0,1,0,6.8,17632,230,47,23,1655.7,37,7,11,1,0,0,7,18431,222,53,22.2,1804.8
0,0,9,6,3,0,0,0,6.8,16953,198,59,19.8,1614.2,12,14,16,1,1,0,7,18698,201,37,20.1,1925.1
0,1,11,7,9,0,0,0,7.2,18708,230,56,23,1798.4,12,11,11,1,0,0,7.2,19185,178,51,17.8,1744.7
1,0,14,13,10,1,1,0,7.8,21588,222,71,22.2,2003.8,30,5,6,0,0,0,6.6,16020,208,40,20.8,1595.9
1,0,90,10,13,0,0,1,7.2,18463,213,50,21.3,1957.1,14,5,6,0,0,0,6.6,16382,210,47,21,1556.5
0,1,18,3,4,0,0,0,6.4,15128,200,48,20,1455.7,14,10,10,1,1,0,7.6,20523,246,63,24.6,1813.9
1,0,13,6,5,0,0,0,7,18567,205,56,20.5,1602.9,15,6,5,1,0,0,7,18334,224,48,22.4,1638.4
1,1,17,7,8,0,0,1,6.6,16741,207,46,20.7,1805.3,30,6,6,0,0,0,6.4,15747,178,22,17.8,1458.9
1,1,15,9,9,1,0,0,7,18905,225,60,22.5,1809.8,10,5,3,0,1,0,6.6,16722,229,32,22.9,1588.1
1,1,10,8,9,1,1,0,7.2,19519,235,59,23.5,1834.3,12,3,2,0,0,0,7,18008,234,54,23.4,1529.4
1,0,11,5,4,1,0,0,7,17998,198,44,19.8,1559.6,23,6,7,0,0,0,7,18472,199,40,19.9,1590.1
0,0,51,4,6,1,0,0,7,17882,229,53,22.9,1581.2,12,2,1,0,1,0,7,17403,218,54,21.8,1448.7
1,1,13,6,10,0,0,0,6.4,16477,221,44,22.1,1594.7,12,6,9,1,0,0,6.4,16390,203,52,20.3,1600
0,0,31,5,5,0,0,0,6.6,16532,196,40,19.6,1499.7,15,9,7,1,0,0,6.8,17973,237,32,23.7,1786.2
0,1,10,7,5,0,0,0,6.8,17576,215,42,21.5,1646.3,32,7,8,1,0,0,7,18137,217,40,21.7,1655.6
0,1,16,6,7,0,0,0,6.6,17054,225,46,22.5,1607.2,10,7,10,1,0,0,7.2,18239,212,50,21.2,1649.2
1,1,16,7,6,1,0,0,7.4,19579,253,64,25.3,1914,54,3,3,0,1,0,6.8,17224,179,45,17.9,1413.2
0,1,16,4,1,0,0,0,6.4,15883,188,53,18.8,1454.7,17,6,5,1,1,0,6.8,17678,196,56,19.6,1662.1
1,0,11,5,7,0,1,0,6.8,17717,188,63,18.8,1564.4,15,4,7,0,0,0,6.6,16704,190,48,19,1564.7
0,1,12,5,5,0,0,0,7,17911,213,47,21.3,1573.4,19,5,7,1,1,0,7,18571,249,47,24.9,1657.1
1,1,34,5,6,1,0,0,6.8,17320,229,39,22.9,1679.4,35,5,6,0,1,0,7.2,18067,216,55,21.6,1628.4
0,0,12,6,8,1,0,0,6.8,17257,200,43,20,1593,11,11,12,0,0,0,7.4,19664,214,60,21.4,1947.9
1,0,15,6,6,0,0,0,7.2,18646,240,56,24,1693.6,52,6,7,1,0,0,6.8,18287,199,68,19.9,1666.4
1,1,15,9,9,0,0,0,7.2,19379,230,51,23,1794.1,43,5,5,0,0,0,7,17190,206,52,20.6,1575.4
0,0,12,2,4,0,0,0,6.2,15671,222,33,22.2,1369.8,12,8,11,0,1,1,7,18227,242,40,24.2,1860.5
1,1,13,5,3,1,0,0,7.4,19262,238,64,23.8,1594.3,13,4,5,0,0,0,7,18614,210,64,21,1588
1,0,15,4,6,0,1,0,7,18304,222,68,22.2,1589.1,15,8,13,1,0,0,7,18788,230,47,23,1802.3
0,0,10,5,5,0,1,0,7,19002,211,71,21.1,1621.6,11,6,8,1,0,0,7.6,19966,222,69,22.2,1719.2
0,1,80,3,3,0,0,0,6.6,17158,186,62,18.6,1475.4,32,5,6,1,0,0,7.2,19124,218,54,21.8,1609.6
1,1,13,8,5,1,0,0,7.2,18318,229,40,22.9,1690.9,13,2,2,0,0,0,6.2,15786,208,44,20.8,1460.5
1,0,12,10,11,0,0,0,7.2,19691,218,70,21.8,1885.8,77,2,1,1,0,0,6.6,16312,219,56,21.9,1463.9
0,1,16,6,7,0,0,0,6.8,17112,180,45,18,1595.2,39,7,9,0,0,0,7.2,19452,243,46,24.3,1800.1
0,0,12,1,2,0,0,0,6.2,15085,187,48,18.7,1328.6,16,5,4,1,0,0,7,18908,236,67,23.6,1746.5
0,0,12,6,9,0,0,0,7.2,18466,269,40,26.9,1681.2,12,6,3,1,0,0,7,19539,245,56,24.5,1687.8
1,0,15,9,13,1,1,0,6.8,18001,178,60,17.8,1790.6,11,7,4,0,0,0,6.8,17859,215,56,21.5,1739.6
0,1,13,4,2,0,1,0,7.2,19181,263,53,26.3,1640.8,12,3,1,1,0,0,6.8,17614,208,35,20.8,1381.7
0,1,13,4,5,0,0,0,6.4,16369,198,46,19.8,1505.6,12,12,20,1,0,1,7.4,19403,177,53,17.7,1882.8
0,1,23,6,11,1,0,0,6.8,18269,240,43,24,1783.1,16,6,7,0,0,0,7,19147,233,51,23.3,1686.6
0,0,9,1,1,0,0,0,6.6,16678,223,34,22.3,1373.8,13,5,7,1,1,0,7.4,18836,259,70,25.9,1720.6
1,1,21,14,15,0,0,0,7.4,20330,212,54,21.2,2031.7,8,3,4,0,0,0,6.4,16414,196,45,19.6,1416.4
0,0,13,0,0,0,0,0,6.4,16184,233,60,23.3,1409.1,56,5,8,1,0,0,7,18914,229,60,22.9,1630.7
0,0,11,6,4,1,0,0,6.6,16916,191,39,19.1,1603.6,15,11,14,0,0,0,7.2,18683,206,28,20.6,1834.4
1,1,15,6,5,0,1,0,6.6,17392,210,54,21,1705.2,10,6,3,1,0,0,7,17571,194,51,19.4,1513.5
0,0,10,4,6,0,0,0,7,18778,268,52,26.8,1635.4,9,7,8,1,0,0,7.4,20537,244,84,24.4,1803
1,1,18,10,8,1,0,0,7.2,19476,242,48,24.2,1829.7,12,5,7,0,0,0,6.8,18217,214,60,21.4,1558.8
0,0,11,6,5,0,0,0,6.6,16524,222,36,22.2,1574.8,35,8,12,1,0,0,6.8,17076,216,46,21.6,1705.2
1,1,41,8,10,1,0,0,7.4,20099,229,59,22.9,1788.6,10,5,5,0,0,0,7.2,18690,222,60,22.2,1606.2
0,0,12,11,15,0,0,0,6.6,16703,174,38,17.4,1706.9,10,8,9,1,1,0,6.8,16748,212,44,21.2,1684
1,0,13,4,4,0,1,0,7.2,19310,252,57,25.2,1663.1,27,4,1,0,0,0,7,17643,214,56,21.4,1512.4
0,0,9,1,3,1,0,0,7,18364,231,65,23.1,1476.6,14,5,4,0,0,0,7,19499,235,61,23.5,1655.3
0,0,12,8,3,0,0,0,7.2,19396,234,49,23.4,1711.3,13,7,4,0,0,0,6.8,17999,182,52,18.2,1629.8
0,0,12,5,6,1,0,0,6.6,16713,167,48,16.7,1512,13,14,9,0,0,0,7.8,21774,238,44,23.8,1988.7
